ortho	freqfilms2	freqlivres	nblettres
a	81.36	58.65	1
a	6350.91	2926.69	1
a	5498.34	1669.39	1
a capella	0.04	0.07	9
a cappella	0.04	0.07	10
a contrario	0	0.27	11
a fortiori	0.04	0.88	10
a giorno	0	0.27	8
a jeun	0.18	0	6
a l'instar	0.26	0	10
a posteriori	0.01	0.14	12
a priori	0.63	2.57	8
a priori	0.41	0.47	8
aa	0.01	0	2
ab absurdo	0	0.07	10
ab initio	0.01	0.07	9
ab ovo	0	0.27	6
abaca	0.01	0	5
abaissa	0	2.64	7
abaissai	0.1	0.07	8
abaissaient	0	0.41	11
abaissait	0.02	2.5	9
abaissant	0.03	0.27	9
abaissant	0.01	2.5	9
abaissante	0.01	0	10
abaisse	0.02	0	7
abaisse	1.28	3.45	7
abaisse-langue	0.04	0.14	14
abaissement	0.31	2.16	11
abaissent	0.05	0.95	9
abaisser	1.09	2.91	8
abaissera	0.19	0.07	9
abaisserai	0.1	0.07	10
abaisseraient	0.01	0.07	13
abaisserais	0.13	0	11
abaisserait	0.02	0.2	11
abaisses	0.16	0.07	8
abaissez	0.53	0.07	8
abaissons	0.02	0	9
abaissèrent	0	0.41	11
abaissé	0.74	1.35	7
abaissé	0.03	0.2	7
abaissée	0.17	0.27	8
abaissée	0	0.2	8
abaissées	0.01	0	9
abaissées	0.02	0.27	9
abaissés	0.3	0.07	8
abaissés	0.01	0.07	8
abalone	0.01	0	7
abalones	0	0.07	8
abandon	4.77	25.2	7
abandonna	0.59	8.92	9
abandonnai	0.27	2.16	10
abandonnaient	0.07	1.55	13
abandonnais	0.35	1.49	11
abandonnait	1.04	9.46	11
abandonnant	1.15	9.93	11
abandonnas	0	0.14	10
abandonne	24.04	15.54	9
abandonnent	2.44	2.64	11
abandonner	28.37	27.7	10
abandonnera	1.52	0.81	11
abandonnerai	2.39	0.41	12
abandonneraient	0.02	0.14	15
abandonnerais	0.93	0.27	13
abandonnerait	0.23	0.88	13
abandonneras	0.3	0.2	12
abandonnerez	0.14	0	12
abandonneriez	0.23	0.2	13
abandonnerions	0.01	0	14
abandonnerons	0.39	0.14	13
abandonneront	0.41	0.27	13
abandonnes	4.13	0.14	10
abandonneurs	0	0.07	12
abandonnez	5.72	0.88	10
abandonniez	0.14	0.14	11
abandonnions	0.06	0.54	12
abandonnique	0	0.07	12
abandonnons	1.06	0.68	11
abandonnâmes	0	0.27	12
abandonnât	0	0.34	10
abandonnèrent	0.16	1.42	13
abandonné	22.56	23.92	9
abandonné	3.84	8.45	9
abandonnée	7.34	9.66	10
abandonnée	2.94	8.24	10
abandonnées	1.27	2.7	11
abandonnées	0.44	2.97	11
abandonnés	3.55	4.93	10
abandonnés	1.05	4.73	10
abandons	0.07	2.16	8
abaque	0	0.07	6
abasourdi	0.24	2.03	9
abasourdi	0.35	2.09	9
abasourdie	0.14	0.54	10
abasourdie	0.12	0.54	10
abasourdir	0.01	0.14	10
abasourdis	0.02	0.07	10
abasourdis	0.07	0.2	10
abasourdissant	0.01	0	14
abasourdissants	0	0.07	15
abat	0.13	0.2	4
abat	2.15	4.93	4
abat-jour	0.51	8.24	9
abat-son	0	0.27	8
abatage	0	0.07	7
abatis	0	0.88	6
abats	0.52	0.81	5
abats	1.79	0.54	5
abattage	0.63	1.15	8
abattages	0.02	0.14	9
abattaient	0.06	2.36	10
abattais	0.02	0.27	8
abattait	0.42	3.45	8
abattant	0.05	0.54	8
abattant	0.31	1.96	8
abattants	0.01	0.07	9
abatte	0.58	0.61	6
abattement	0.17	2.36	10
abattements	0.01	0.27	11
abattent	0.69	2.03	8
abattes	0.11	0	7
abatteur	0.14	0.2	8
abatteurs	0	0.07	9
abattez	2.21	0	7
abattiez	0.06	0	8
abattions	0	0.07	9
abattirent	0.03	0.95	10
abattis	0.14	1.08	7
abattis	0	0.27	7
abattit	0.34	5.07	7
abattoir	2.67	2.36	8
abattoirs	0.48	2.3	9
abattons	0.33	0	8
abattra	1.51	0.61	7
abattrai	0.39	0	8
abattraient	0.03	0.07	11
abattrais	0.1	0.07	9
abattrait	0.63	0.41	9
abattras	0.03	0	8
abattre	14.43	14.32	7
abattrez	0.26	0	8
abattriez	0.02	0	9
abattrons	0.11	0	9
abattront	0.34	0.07	9
abattu	11.48	7.43	6
abattu	1.82	3.78	6
abattu	0.18	1.22	6
abattue	2.19	2.43	7
abattue	0.18	1.55	7
abattues	0.44	0.27	8
abattues	0.04	0.68	8
abattures	0	0.14	9
abattus	2.42	2.43	7
abattus	0.47	1.08	7
abattus	0.35	0.2	7
abbatial	0	0.27	8
abbatiale	0	0.27	9
abbatiale	0	0.14	9
abbatiales	0	0.07	10
abbaye	3.66	3.31	6
abbayes	0.28	0.47	7
abbesse	0.26	0.41	7
abbesses	0	0.61	8
abbé	4.19	31.28	4
abbés	0.02	1.22	5
abc	0.04	0	3
abcès	1.79	3.31	5
abdication	0.05	1.82	10
abdications	0	0.14	11
abdiqua	0	0.2	7
abdiquai	0	0.07	8
abdiquaient	0	0.07	11
abdiquais	0	0.14	9
abdiquait	0	0.2	9
abdiquant	0	0.07	9
abdique	0.23	0.41	7
abdiquer	0.08	0.41	8
abdiquera	0.01	0.07	9
abdiquerais	0	0.07	11
abdiquerait	0	0.07	11
abdiquez	0.03	0	8
abdiqué	0.11	0.95	7
abdiquée	0	0.07	8
abdomen	2.76	1.55	7
abdominal	0.5	0	9
abdominale	1.3	0.61	10
abdominales	0.7	0	11
abdominaux	0.06	0.14	10
abdominaux	0.09	0.68	10
abdos	0.86	0	5
abducteur	0.01	0	9
abduction	0.05	0	9
abeille	3.53	3.18	7
abeilles	5.59	6.69	8
aber	0.25	0	4
aberrant	0.58	1.08	8
aberrant	0	0.2	8
aberrante	0.04	0.61	9
aberrantes	0.2	0.34	10
aberrants	0.02	0.47	9
aberration	0.89	3.31	10
aberrations	0.27	1.15	11
abhorrais	0.01	0.07	9
abhorrait	0.01	0.68	9
abhorrant	0.01	0.07	9
abhorre	0.2	0	7
abhorrer	0	0.14	8
abhorrez	0.03	0	8
abhorré	0.01	0.27	7
abhorré	0	0.2	7
abhorrée	0	0.07	8
abhorrée	0.01	0.07	8
abhorrés	0	0.07	8
abject	1.4	1.69	6
abjecte	0.69	1.49	7
abjectement	0.1	0.07	11
abjectes	0.05	0.2	8
abjection	0.37	2.16	9
abjections	0.14	0.14	10
abjects	0.05	0.54	7
abjurant	0.14	0	8
abjuration	0	0.41	10
abjurations	0	0.07	11
abjure	0.77	0.14	6
abjurer	0.22	0.68	7
abjurez	0.4	0	7
abjurons	0	0.07	8
abjuré	0	0.41	6
abkhaze	0	0.07	7
ablatif	0	0.14	7
ablation	0.43	1.28	8
ablations	0.03	0.07	9
able	0.68	0.14	4
ablette	0	0.41	7
ablettes	0.14	0.54	8
ablution	0.01	0.14	8
ablutions	0.47	1.42	9
abnégation	0.91	3.58	10
aboi	0	0.88	4
aboie	2.91	2.03	5
aboiement	0.44	2.36	9
aboiements	1.35	3.58	10
aboient	0.54	0.81	7
aboiera	0.21	0	7
aboierait	0.01	0.07	9
aboieront	0.01	0.07	9
aboies	0.42	0	6
abois	0.78	2.7	5
aboli	0.02	1.28	5
aboli	1.1	1.42	5
abolie	0.06	0.61	6
abolie	0.06	0.54	6
abolies	0	0.27	7
abolies	0.11	0.34	7
abolir	1.08	2.97	6
abolira	0.01	0.34	7
abolirait	0	0.07	9
aboliras	0.01	0	8
abolis	0	0.41	6
abolis	0.14	0.41	6
abolissaient	0	0.41	12
abolissais	0	0.07	10
abolissait	0	0.74	10
abolissant	0.25	0.54	10
abolissent	0	0.14	10
abolissions	0	0.07	11
abolissons	0.02	0	10
abolit	0.29	1.28	6
abolition	0.45	1.49	9
abolitionniste	0.03	0	14
abolitionniste	0.07	0	14
abolitionnistes	0	0.07	15
abolitionnistes	0.1	0.07	15
abominable	4.78	8.99	10
abominablement	0.01	0.68	14
abominables	0.62	2.23	11
abominaient	0	0.07	11
abomination	1.24	3.04	11
abominations	0.69	1.49	12
abomine	0	0.41	7
abominer	0	0.07	8
abonda	0	0.27	6
abondai	0	0.07	7
abondaient	0.12	1.42	10
abondais	0.01	0.14	8
abondait	0.02	0.47	8
abondamment	0.3	4.93	11
abondance	2.76	9.39	9
abondant	0.09	1.42	8
abondant	0.02	0.07	8
abondante	0.89	3.45	9
abondantes	0.33	1.22	10
abondants	0.05	0.95	9
abondassent	0	0.07	11
abonde	0.28	0.81	6
abondent	0.63	0.47	8
abonder	0.03	0.61	7
abondé	0.01	0.2	6
abonnai	0	0.07	7
abonnant	0.01	0	8
abonne	0.18	0.07	6
abonnement	3.37	1.55	10
abonnements	1.45	0.07	11
abonner	0.27	0.14	7
abonnez	0.03	0.07	7
abonnât	0	0.07	7
abonné	0.3	0.88	6
abonné	0.3	0	6
abonné	0.3	0.34	6
abonnée	0.15	0.68	7
abonnée	0.01	0	7
abonnée	0.04	0.14	7
abonnées	0.01	0	8
abonnées	0.02	0.2	8
abonnés	0.16	0.14	7
abonnés	0.16	0	7
abonnés	0.52	1.55	7
abord	0.89	7.3	5
aborda	0.16	3.99	6
abordable	0.34	0.2	9
abordables	0.13	0	10
abordage	1.17	1.42	8
abordages	0.05	0.07	9
abordai	0	0.61	7
abordaient	0.03	1.28	10
abordais	0	0.54	8
abordait	0.47	2.5	8
abordant	0.03	1.42	8
aborde	1.76	2.36	6
abordent	0.09	0.54	8
aborder	5.65	12.91	7
abordera	0.2	0.34	8
aborderai	0.08	0.14	9
aborderaient	0	0.07	12
aborderais	0.02	0.07	10
aborderait	0.02	0.14	10
aborderiez	0.01	0	10
aborderions	0	0.14	11
aborderons	0.09	0.07	10
aborderont	0.04	0.14	10
abordes	0.36	0.07	7
abordez	0.75	0	7
abordiez	0.02	0.07	8
abordions	0.04	0.34	9
abordons	0.72	0.41	8
abords	1.33	11.76	6
abordâmes	0	0.27	9
abordèrent	0.01	0.68	10
abordé	1.36	2.97	6
abordé	0.03	0.14	6
abordée	0.34	0.54	7
abordées	0.05	0.2	8
abordées	0	0.07	8
abordés	0.26	0.41	7
abordés	0.12	0	7
aborigène	0.1	0	9
aborigène	0.21	0	9
aborigènes	0.07	0.07	10
aborigènes	0.39	0.14	10
abornement	0	0.07	10
abortif	0.01	0	7
abortive	0.01	0.14	8
abortives	0.02	0.2	9
abouchaient	0	0.07	11
abouchais	0	0.07	9
abouchait	0	0.07	9
abouchant	0	0.07	9
abouchements	0	0.07	12
aboucher	0	0.34	8
abouché	0	0.07	7
abouchée	0	0.07	8
abouchés	0	0.07	8
aboule	1.43	0.34	6
abouler	0.11	0.14	7
aboules	0.01	0	7
aboulez	0.25	0.14	7
aboulie	0	0.14	7
aboulique	0	0.07	9
abouliques	0	0.14	10
abounas	0	0.07	7
about	5.94	0.47	5
aboutait	0	0.07	8
abouti	0.04	0.14	6
abouti	1.24	2.84	6
aboutie	0.04	0.07	7
aboutie	0.04	0	7
aboutir	1.34	9.8	7
aboutira	0.29	0.41	8
aboutirai	0	0.07	9
aboutiraient	0.01	0.14	12
aboutirais	0	0.14	10
aboutirait	0.05	0.61	10
aboutiras	0	0.07	9
aboutirent	0	0.68	10
aboutirons	0.01	0	10
aboutiront	0.04	0.27	10
aboutis	0.03	0	7
aboutis	0.07	0.34	7
